SourceIP,DestinationIP,SourcePort,DestinationPort,Flow'sProtocol,Number of Bytes Sent per Flow,Number of Bytes received per Flow
192.168.43.254,65.55.44.109,13107,443,TCP,32,32
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
192.168.43.254,65.55.44.109,13107,443,TCP,1420,537
192.168.43.254,65.55.44.109,13107,443,TCP,1420,20
65.55.44.109,192.168.43.254,443,13107,TCP,1115,113
65.55.44.109,192.168.43.254,443,13107,TCP,20,1420
65.55.44.109,192.168.43.254,443,13107,TCP,71,425
192.168.43.254,65.55.44.109,13107,443,TCP,20,299
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
192.168.43.254,65.55.44.109,13107,443,TCP,334,51
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
65.55.44.109,192.168.43.254,443,13107,TCP,32,33
192.168.43.254,65.55.44.109,13107,443,TCP,32,20
192.168.43.254,65.55.44.109,13107,443,TCP,41,245
65.55.44.109,192.168.43.254,443,13107,TCP,20,81
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
192.168.43.254,3.14.252.40,13096,443,TCP,20,32
65.55.44.109,192.168.43.254,443,13107,TCP,20,20
65.55.44.109,192.168.43.254,443,13107,TCP,67,268
192.168.43.254,65.55.44.109,13107,443,TCP,32,20
192.168.43.254,65.55.44.109,13107,443,TCP,20,20
192.168.43.254,65.55.44.109,13107,443,TCP,1420,20
65.55.44.109,192.168.43.254,443,13107,TCP,1420,20
65.55.44.109,192.168.43.254,443,13107,TCP,1420,20
192.168.43.254,108.177.119.189,59346,443,UDP,1420,178
108.177.119.189,192.168.43.254,443,59346,UDP,629,20
3.14.252.40,192.168.43.254,443,13096,TCP,20,701
138.199.14.82,192.168.43.254,80,12858,TCP,71,1420
192.168.43.254,138.199.14.82,12858,80,TCP,20,1420
192.168.43.254,3.14.252.40,13104,443,TCP,20,993
3.14.252.40,192.168.43.254,443,13104,TCP,20,20
192.168.43.254,104.27.195.88,12861,443,TCP,20,20
104.27.195.88,192.168.43.254,443,12861,TCP,447,20
104.27.195.88,192.168.43.254,443,12861,TCP,20,51
192.168.43.254,104.27.195.88,12861,443,TCP,20,20
192.168.43.254,20.189.173.7,13108,443,TCP,446,20
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,133,20
192.168.43.254,20.189.173.7,13108,443,TCP,1284,20
20.189.173.7,192.168.43.254,443,13108,TCP,58,20
20.189.173.7,192.168.43.254,443,13108,TCP,79,106
192.168.43.254,20.189.173.7,13108,443,TCP,120,20
20.189.173.7,192.168.43.254,443,13108,TCP,388,20
192.168.43.254,20.189.173.7,13108,443,TCP,174,95
20.189.173.7,192.168.43.254,443,13108,TCP,20,32
192.168.43.254,20.189.173.7,13108,443,TCP,155,20
20.189.173.7,192.168.43.254,443,13108,TCP,54,537
192.168.43.254,20.189.173.7,13108,443,TCP,234,20
20.189.173.7,192.168.43.254,443,13108,TCP,42,20
192.168.43.254,20.189.173.7,13108,443,TCP,32,20
192.168.43.254,20.189.173.7,13108,443,TCP,155,20
20.189.173.7,192.168.43.254,443,13108,TCP,20,20
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1259,20
192.168.43.254,20.189.173.7,13108,443,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1099,20
192.168.43.254,20.189.173.7,13108,443,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1067,20
20.189.173.7,192.168.43.254,443,13108,TCP,1420,52
20.189.173.7,192.168.43.254,443,13108,TCP,923,20
20.189.173.7,192.168.43.254,443,13108,TCP,20,33
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,3.14.252.40,13104,443,TCP,1403,33
20.189.173.7,192.168.43.254,443,13108,TCP,1420,20
192.168.43.254,20.189.173.7,13108,443,TCP,1211,33
3.14.252.40,192.168.43.254,443,13104,TCP,1412,611
192.168.43.254,3.14.252.40,13104,443,TCP,1299,1420
192.168.43.254,185.60.216.53,12875,443,TCP,1420,593
185.60.216.53,192.168.43.254,443,12875,TCP,1339,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1291,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,33
192.168.43.254,185.60.216.53,12875,443,TCP,1420,33
185.60.216.53,192.168.43.254,443,12875,TCP,1339,20
192.168.43.254,185.60.216.53,12875,443,TCP,41,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
192.168.43.254,185.60.216.53,12875,443,TCP,1099,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,20
192.168.43.254,185.60.216.53,12875,443,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1259,33
192.168.43.254,185.60.216.53,12875,443,TCP,41,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,118
185.60.216.53,192.168.43.254,443,12875,TCP,20,32
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,537
185.60.216.53,192.168.43.254,443,12875,TCP,446,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,113
192.168.43.254,185.60.216.53,12875,443,TCP,41,1420
185.60.216.53,192.168.43.254,443,12875,TCP,221,266
192.168.43.254,192.168.43.1,61965,53,UDP,174,20
192.168.43.254,185.60.216.53,12875,443,TCP,41,51
192.168.43.1,192.168.43.254,53,61965,UDP,155,20
192.168.43.254,157.240.20.52,13109,443,TCP,174,21
157.240.20.52,192.168.43.254,443,13109,TCP,41,20
192.168.43.254,157.240.20.52,13109,443,TCP,205,32
192.168.43.254,157.240.20.52,13109,443,TCP,174,20
185.60.216.53,192.168.43.254,443,12875,TCP,287,537
157.240.20.52,192.168.43.254,443,13109,TCP,41,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,84
185.60.216.53,192.168.43.254,443,12875,TCP,51,112
185.60.216.53,192.168.43.254,443,12875,TCP,32,523
192.168.43.254,185.60.216.53,12875,443,TCP,41,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,51
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
192.168.43.254,185.60.216.53,12875,443,TCP,1420,33
185.60.216.53,192.168.43.254,443,12875,TCP,1115,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,20
192.168.43.254,185.60.216.53,12875,443,TCP,71,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,118
185.60.216.53,192.168.43.254,443,12875,TCP,20,32
192.168.43.254,185.60.216.53,12875,443,TCP,334,20
138.199.14.82,192.168.43.254,80,12858,TCP,20,537
192.168.43.254,138.199.14.82,12858,80,TCP,32,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,113
192.168.43.254,185.60.216.53,12875,443,TCP,173,899
185.60.216.53,192.168.43.254,443,12875,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,51
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1002,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,146
185.60.216.53,192.168.43.254,443,12875,TCP,20,281
185.60.216.53,192.168.43.254,443,12875,TCP,20,81
192.168.43.254,185.60.216.53,12875,443,TCP,191,20
185.60.216.53,192.168.43.254,443,12875,TCP,100,21
185.60.216.53,192.168.43.254,443,12875,TCP,64,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,21
108.177.119.189,192.168.43.254,443,59346,UDP,41,20
192.168.43.254,108.177.119.189,59346,443,UDP,20,52
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1420,33
192.168.43.254,185.60.216.53,12875,443,TCP,1420,20
192.168.43.254,108.177.119.189,59346,443,UDP,150,33
108.177.119.189,192.168.43.254,443,59346,UDP,173,33
185.60.216.53,192.168.43.254,443,12875,TCP,51,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,33
192.168.43.254,108.177.119.189,59346,443,UDP,1420,20
108.177.119.189,192.168.43.254,443,59346,UDP,203,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
192.168.43.254,185.60.216.53,12875,443,TCP,1115,20
192.168.43.254,108.177.119.189,59346,443,UDP,20,33
108.177.119.189,192.168.43.254,443,59346,UDP,71,20
192.168.43.254,108.177.119.189,59346,443,UDP,20,20
192.168.43.254,20.189.173.7,13108,443,TCP,173,20
192.168.43.254,20.189.173.7,13108,443,TCP,334,33
192.168.43.254,20.189.173.7,13108,443,TCP,20,20
20.189.173.7,192.168.43.254,443,13108,TCP,32,20
20.189.173.7,192.168.43.254,443,13108,TCP,32,20
20.189.173.7,192.168.43.254,443,13108,TCP,20,20
108.177.119.189,192.168.43.254,443,59346,UDP,20,20
20.189.173.7,192.168.43.254,443,13108,TCP,20,33
192.168.43.254,20.189.173.7,13108,443,TCP,197,20
192.168.43.254,108.177.119.189,59346,443,UDP,20,32
108.177.119.189,192.168.43.254,443,59346,UDP,20,20
192.168.43.254,108.177.119.189,59346,443,UDP,67,20
108.177.119.189,192.168.43.254,443,59346,UDP,32,537
192.168.43.254,108.177.119.189,59346,443,UDP,173,20
108.177.119.189,192.168.43.254,443,59346,UDP,20,113
185.60.216.53,192.168.43.254,443,12875,TCP,32,1420
185.60.216.53,192.168.43.254,443,12875,TCP,173,424
192.168.43.254,185.60.216.53,12875,443,TCP,41,20
192.168.43.254,108.177.119.189,59346,443,UDP,1420,51
108.177.119.189,192.168.43.254,443,59346,UDP,133,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,33
185.60.216.53,192.168.43.254,443,12875,TCP,173,57
192.168.43.254,185.60.216.53,12875,443,TCP,41,1258
192.168.43.254,108.177.119.189,59346,443,UDP,41,1258
108.177.119.189,192.168.43.254,443,59346,UDP,1420,34
185.60.216.53,192.168.43.254,443,12875,TCP,251,33
185.60.216.53,192.168.43.254,443,12875,TCP,41,630
192.168.43.254,185.60.216.53,12875,443,TCP,173,633
185.60.216.53,192.168.43.254,443,12875,TCP,41,34
192.168.43.254,185.60.216.53,12875,443,TCP,1420,112
192.168.43.254,108.177.119.189,59346,443,UDP,331,52
108.177.119.189,192.168.43.254,443,59346,UDP,41,33
138.199.14.82,192.168.43.254,80,12858,TCP,173,1258
192.168.43.254,138.199.14.82,12858,80,TCP,1420,1258
192.168.43.254,192.168.43.1,60448,53,UDP,283,630
192.168.43.1,192.168.43.254,53,60448,UDP,41,35
192.168.43.254,65.55.44.109,13110,443,TCP,173,37
65.55.44.109,192.168.43.254,443,13110,TCP,1420,112
192.168.43.254,65.55.44.109,13110,443,TCP,331,977
192.168.43.254,65.55.44.109,13110,443,TCP,173,33
192.168.43.254,108.177.119.189,59346,443,UDP,41,33
65.55.44.109,192.168.43.254,443,13110,TCP,1420,57
108.177.119.189,192.168.43.254,443,59346,UDP,315,1258
65.55.44.109,192.168.43.254,443,13110,TCP,173,1258
65.55.44.109,192.168.43.254,443,13110,TCP,1420,630
192.168.43.254,65.55.44.109,13110,443,TCP,283,35
65.55.44.109,192.168.43.254,443,13110,TCP,173,112
192.168.43.254,65.55.44.109,13110,443,TCP,41,33
65.55.44.109,192.168.43.254,443,13110,TCP,173,37
65.55.44.109,192.168.43.254,443,13110,TCP,1420,33
192.168.43.254,65.55.44.109,13110,443,TCP,875,790
192.168.43.254,65.55.44.109,13110,443,TCP,20,173
65.55.44.109,192.168.43.254,443,13110,TCP,32,33
65.55.44.109,192.168.43.254,443,13110,TCP,20,33
65.55.44.109,192.168.43.254,443,13110,TCP,1420,20
65.55.44.109,192.168.43.254,443,13110,TCP,1420,174
192.168.43.254,65.55.44.109,13110,443,TCP,1115,32
192.168.43.254,65.55.44.109,13110,443,TCP,20,20
192.168.43.254,65.55.44.109,13110,443,TCP,71,217
65.55.44.109,192.168.43.254,443,13110,TCP,20,20
65.55.44.109,192.168.43.254,443,13110,TCP,20,20
192.168.43.254,64.233.184.188,12849,443,TCP,334,20
64.233.184.188,192.168.43.254,443,12849,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,20
192.168.43.254,185.60.216.53,12875,443,TCP,41,178
157.240.20.52,192.168.43.254,443,13109,TCP,32,20
192.168.43.254,157.240.20.52,13111,443,TCP,41,553
157.240.20.52,192.168.43.254,443,13111,TCP,41,1420
192.168.43.254,157.240.20.52,13111,443,TCP,1258,521
192.168.43.254,157.240.20.52,13111,443,TCP,84,20
157.240.20.52,192.168.43.254,443,13111,TCP,548,20
157.240.20.52,192.168.43.254,443,13111,TCP,87,35
157.240.20.52,192.168.43.254,443,13111,TCP,41,33
192.168.43.254,157.240.20.52,13111,443,TCP,41,525
192.168.43.254,157.240.20.52,13111,443,TCP,43,268
192.168.43.254,157.240.20.52,13111,443,TCP,36,33
192.168.43.254,157.240.20.52,13111,443,TCP,41,1068
157.240.20.52,192.168.43.254,443,13111,TCP,1258,20
157.240.20.52,192.168.43.254,443,13111,TCP,41,52
157.240.20.52,192.168.43.254,443,13111,TCP,83,33
157.240.20.52,192.168.43.254,443,13111,TCP,87,33
157.240.20.52,192.168.43.254,443,13111,TCP,41,20
192.168.43.254,157.240.20.52,13111,443,TCP,811,33
192.168.43.254,157.240.20.52,13111,443,TCP,42,33
157.240.20.52,192.168.43.254,443,13111,TCP,41,33
157.240.20.52,192.168.43.254,443,13111,TCP,43,81
192.168.43.254,157.240.20.52,13111,443,TCP,41,20
192.168.43.254,108.177.119.189,59346,443,UDP,41,33
108.177.119.189,192.168.43.254,443,59346,UDP,1258,20
40.127.110.237,192.168.43.254,443,13076,TCP,81,33
157.240.20.52,192.168.43.254,443,13111,TCP,86,33
157.240.20.52,192.168.43.254,443,13111,TCP,41,33
192.168.43.254,157.240.20.52,13111,443,TCP,1254,21
157.240.20.52,192.168.43.254,443,13111,TCP,1254,33
157.240.20.52,192.168.43.254,443,13111,TCP,1258,51
192.168.43.254,157.240.20.52,13111,443,TCP,114,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,20
192.168.43.254,185.60.216.53,12875,443,TCP,43,21
192.168.43.254,192.168.43.1,56187,53,UDP,41,20
192.168.43.1,192.168.43.254,53,56187,UDP,41,186
192.168.43.254,65.55.44.109,13112,443,TCP,20,20
65.55.44.109,192.168.43.254,443,13112,TCP,56,56
192.168.43.254,65.55.44.109,13112,443,TCP,56,1258
192.168.43.254,65.55.44.109,13112,443,TCP,32,1258
65.55.44.109,192.168.43.254,443,13112,TCP,20,630
185.60.216.53,192.168.43.254,443,12875,TCP,1420,35
185.60.216.53,192.168.43.254,443,12875,TCP,1420,112
192.168.43.254,185.60.216.53,12875,443,TCP,1420,33
65.55.44.109,192.168.43.254,443,13112,TCP,1420,33
65.55.44.109,192.168.43.254,443,13112,TCP,593,33
192.168.43.254,65.55.44.109,13112,443,TCP,20,21
65.55.44.109,192.168.43.254,443,13112,TCP,71,793
192.168.43.254,65.55.44.109,13112,443,TCP,20,149
65.55.44.109,192.168.43.254,443,13112,TCP,20,33
65.55.44.109,192.168.43.254,443,13112,TCP,20,21
192.168.43.254,65.55.44.109,13112,443,TCP,74,20
65.55.44.109,192.168.43.254,443,13112,TCP,428,119
185.60.216.53,192.168.43.254,443,12875,TCP,1254,32
65.55.44.109,192.168.43.254,443,13112,TCP,664,20
65.55.44.109,192.168.43.254,443,13112,TCP,41,537
192.168.43.254,65.55.44.109,13112,443,TCP,43,32
192.168.43.254,65.55.44.109,13112,443,TCP,41,20
192.168.43.254,65.55.44.109,13112,443,TCP,20,20
65.55.44.109,192.168.43.254,443,13112,TCP,504,84
192.168.43.254,185.60.216.53,12875,443,TCP,41,112
65.55.44.109,192.168.43.254,443,13112,TCP,41,435
138.199.14.82,192.168.43.254,80,12858,TCP,41,51
192.168.43.254,138.199.14.82,12858,80,TCP,41,242
40.114.211.99,192.168.43.254,443,13078,TCP,41,32
192.168.43.254,3.14.252.40,13096,443,TCP,41,32
3.14.252.40,192.168.43.254,443,13096,TCP,41,20
3.14.252.40,192.168.43.254,443,13096,TCP,20,553
192.168.43.254,3.14.252.40,13096,443,TCP,67,20
3.14.252.40,192.168.43.254,443,13096,TCP,20,20
192.168.43.254,104.27.195.88,12861,443,TCP,41,146
104.27.195.88,192.168.43.254,443,12861,TCP,41,119
104.27.195.88,192.168.43.254,443,12861,TCP,41,1420
192.168.43.254,104.27.195.88,12861,443,TCP,32,1262
192.168.43.254,138.199.14.82,12858,80,TCP,41,128
138.199.14.82,192.168.43.254,80,12858,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,58,553
192.168.43.254,185.60.216.53,12875,443,TCP,173,58
20.185.212.106,192.168.43.254,443,13077,TCP,32,20
192.168.43.254,99.83.135.170,13040,443,TCP,20,20
99.83.135.170,192.168.43.254,443,13040,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,117,146
192.168.43.254,185.60.216.53,12875,443,TCP,40,20
108.177.119.189,192.168.43.254,443,59346,UDP,1258,20
192.168.43.254,108.177.119.189,59346,443,UDP,86,20
185.60.216.53,192.168.43.254,443,12875,TCP,87,68
185.60.216.53,192.168.43.254,443,12875,TCP,41,1258
192.168.43.254,185.60.216.53,12875,443,TCP,1254,1258
192.168.43.254,108.177.119.189,59346,443,UDP,1147,630
108.177.119.189,192.168.43.254,443,59346,UDP,41,35
185.60.216.53,192.168.43.254,443,12875,TCP,42,112
192.168.43.254,185.60.216.53,12875,443,TCP,43,33
192.168.43.254,108.177.119.189,59346,443,UDP,41,33
108.177.119.189,192.168.43.254,443,59346,UDP,32,1254
192.168.43.254,108.177.119.189,59346,443,UDP,32,632
108.177.119.189,192.168.43.254,443,59346,UDP,115,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,33
185.60.216.53,192.168.43.254,443,12875,TCP,55,32
192.168.43.254,185.60.216.53,12875,443,TCP,55,32
192.168.43.254,108.177.119.189,59346,443,UDP,32,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,509
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
108.177.119.189,192.168.43.254,443,59346,UDP,1420,509
192.168.43.254,108.177.119.189,59346,443,UDP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1420,71
185.60.216.53,192.168.43.254,443,12875,TCP,1420,107
192.168.43.254,185.60.216.53,12875,443,TCP,278,1408
108.177.119.189,192.168.43.254,443,59346,UDP,20,491
