SourceIP,DestinationIP,SourcePort,DestinationPort,Flow'sProtocol,Number of Bytes Sent per Flow,Number of Bytes received per Flow
192.168.43.254,3.209.255.103,13117,443,TCP,20,20
192.168.43.254,3.209.255.103,13117,443,TCP,20,20
3.209.255.103,192.168.43.254,443,13117,TCP,1420,20
3.209.255.103,192.168.43.254,443,13117,TCP,1420,20
192.168.43.254,3.209.255.103,13117,443,TCP,1420,20
192.168.43.254,157.240.20.52,13111,443,TCP,1420,20
157.240.20.52,192.168.43.254,443,13111,TCP,731,995
192.168.43.254,192.168.43.1,59310,53,UDP,165,1420
157.240.20.52,192.168.43.254,443,13111,TCP,139,1420
192.168.43.254,157.240.20.52,13111,443,TCP,41,1420
192.168.43.1,192.168.43.254,53,59310,UDP,20,1420
192.168.43.254,172.217.21.42,62057,443,UDP,155,1420
192.168.43.254,172.217.21.42,62057,443,UDP,20,1420
172.217.21.42,192.168.43.254,443,62057,UDP,1258,1420
172.217.21.42,192.168.43.254,443,62057,UDP,85,1420
172.217.21.42,192.168.43.254,443,62057,UDP,1258,1420
192.168.43.254,172.217.21.42,62057,443,UDP,41,1420
192.168.43.254,172.217.21.42,62057,443,UDP,1254,1420
192.168.43.254,172.217.21.42,62057,443,UDP,1254,1420
172.217.21.42,192.168.43.254,443,62057,UDP,1258,59
172.217.21.42,192.168.43.254,443,62057,UDP,62,20
172.217.21.42,192.168.43.254,443,62057,UDP,41,20
172.217.21.42,192.168.43.254,443,62057,UDP,41,35
192.168.43.254,172.217.21.42,62057,443,UDP,41,33
172.217.21.42,192.168.43.254,443,62057,UDP,43,526
172.217.21.42,192.168.43.254,443,62057,UDP,41,71
192.168.43.254,172.217.21.42,62057,443,UDP,428,33
192.168.43.254,172.217.21.42,62057,443,UDP,44,302
138.199.14.82,192.168.43.254,80,12858,TCP,41,20
192.168.43.254,138.199.14.82,12858,80,TCP,47,35
172.217.21.42,192.168.43.254,443,62057,UDP,32,545
192.168.43.254,13.107.22.200,13118,443,TCP,47,75
192.168.43.254,13.107.22.200,13119,443,TCP,41,33
13.107.22.200,192.168.43.254,443,13118,TCP,32,51
192.168.43.254,13.107.22.200,13118,443,TCP,20,35
192.168.43.254,13.107.22.200,13118,443,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,1147,476
13.107.22.200,192.168.43.254,443,13119,TCP,41,156
192.168.43.254,13.107.22.200,13119,443,TCP,20,33
192.168.43.254,13.107.22.200,13119,443,TCP,20,33
13.107.22.200,192.168.43.254,443,13119,TCP,278,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
192.168.43.254,13.107.22.200,13118,443,TCP,20,20
192.168.43.254,13.107.22.200,13118,443,TCP,32,33
192.168.43.254,13.107.22.200,13118,443,TCP,20,20
192.168.43.254,13.107.22.200,13118,443,TCP,1189,33
192.168.43.254,13.107.22.200,13118,443,TCP,41,33
192.168.43.254,13.107.22.200,13118,443,TCP,32,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
108.177.119.189,192.168.43.254,443,59346,UDP,20,20
13.107.22.200,192.168.43.254,443,13118,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,1420,235
13.107.22.200,192.168.43.254,443,13118,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,1420,229
13.107.22.200,192.168.43.254,443,13119,TCP,593,35
192.168.43.254,13.107.22.200,13119,443,TCP,20,33
13.107.22.200,192.168.43.254,443,13119,TCP,41,528
192.168.43.254,13.107.22.200,13119,443,TCP,71,167
13.107.22.200,192.168.43.254,443,13119,TCP,20,33
13.107.22.200,192.168.43.254,443,13119,TCP,20,51
192.168.43.254,13.107.22.200,13119,443,TCP,20,20
13.107.22.200,192.168.43.254,443,13119,TCP,41,84
13.107.22.200,192.168.43.254,443,13119,TCP,447,32
192.168.43.254,13.107.22.200,13119,443,TCP,41,20
192.168.43.254,13.107.22.200,13119,443,TCP,41,616
192.168.43.254,13.107.22.200,13119,443,TCP,41,84
192.168.43.254,13.107.22.200,13118,443,TCP,41,112
192.168.43.254,108.177.119.189,59346,443,UDP,41,1420
13.107.22.200,192.168.43.254,443,13118,TCP,20,1420
13.107.22.200,192.168.43.254,443,13119,TCP,51,531
13.107.22.200,192.168.43.254,443,13119,TCP,20,73
13.107.22.200,192.168.43.254,443,13118,TCP,32,51
192.168.43.254,13.107.22.200,13118,443,TCP,41,20
192.168.43.254,13.107.22.200,13118,443,TCP,20,20
13.107.22.200,192.168.43.254,443,13118,TCP,58,59
192.168.43.254,13.107.22.200,13118,443,TCP,32,20
13.107.22.200,192.168.43.254,443,13119,TCP,20,33
192.168.43.254,13.107.22.200,13119,443,TCP,67,81
192.168.43.254,13.107.22.200,13119,443,TCP,1254,20
192.168.43.254,108.177.119.189,59346,443,UDP,1079,21
13.107.22.200,192.168.43.254,443,13119,TCP,41,73
13.107.22.200,192.168.43.254,443,13118,TCP,43,1258
192.168.43.254,13.107.22.200,13118,443,TCP,41,1258
13.107.22.200,192.168.43.254,443,13118,TCP,56,34
192.168.43.254,13.107.22.200,13118,443,TCP,56,630
192.168.43.254,13.107.22.200,13118,443,TCP,32,421
192.168.43.254,13.107.22.200,13118,443,TCP,20,1254
192.168.43.254,13.107.22.200,13118,443,TCP,1420,112
13.107.22.200,192.168.43.254,443,13118,TCP,1420,240
13.107.22.200,192.168.43.254,443,13119,TCP,1358,33
192.168.43.254,13.107.22.200,13119,443,TCP,20,32
13.107.22.200,192.168.43.254,443,13118,TCP,71,20
108.177.119.189,192.168.43.254,443,59346,UDP,20,20
13.107.22.200,192.168.43.254,443,13118,TCP,41,235
192.168.43.254,13.107.22.200,13118,443,TCP,861,20
13.107.22.200,192.168.43.254,443,13118,TCP,20,20
192.168.43.254,13.107.22.200,13118,443,TCP,1420,178
13.107.22.200,192.168.43.254,443,13118,TCP,1420,107
192.168.43.254,13.107.22.200,13118,443,TCP,1420,450
13.107.22.200,192.168.43.254,443,13118,TCP,1420,58
192.168.43.254,13.107.22.200,13118,443,TCP,1420,20
13.107.22.200,192.168.43.254,443,13118,TCP,1283,51
192.168.43.254,13.107.22.200,13118,443,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,299,33
13.107.22.200,192.168.43.254,443,13118,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,1420,33
13.107.22.200,192.168.43.254,443,13118,TCP,1420,33
192.168.43.254,13.107.22.200,13118,443,TCP,1420,21
13.107.22.200,192.168.43.254,443,13118,TCP,385,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
192.168.43.254,13.107.22.200,13118,443,TCP,20,57
13.107.22.200,192.168.43.254,443,13118,TCP,20,21
13.107.22.200,192.168.43.254,443,13118,TCP,20,1258
13.107.22.200,192.168.43.254,443,13118,TCP,20,630
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,34
13.107.22.200,192.168.43.254,443,13118,TCP,20,1258
192.168.43.254,13.107.22.200,13118,443,TCP,20,633
192.168.43.254,13.107.22.200,13118,443,TCP,20,34
13.107.22.200,192.168.43.254,443,13118,TCP,20,112
192.168.43.254,108.177.119.189,59346,443,UDP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
192.168.43.254,13.107.22.200,13118,443,TCP,458,51
13.107.22.200,192.168.43.254,443,13118,TCP,20,20
192.168.43.254,13.107.22.200,13118,443,TCP,1254,20
13.107.22.200,192.168.43.254,443,13118,TCP,949,33
192.168.43.254,13.107.22.200,13118,443,TCP,41,20
13.107.22.200,192.168.43.254,443,13118,TCP,43,20
192.168.43.254,13.107.22.200,13118,443,TCP,41,34
13.107.22.200,192.168.43.254,443,13118,TCP,20,186
192.168.43.254,13.107.22.200,13118,443,TCP,1420,20
13.107.22.200,192.168.43.254,443,13118,TCP,50,20
192.168.43.254,13.107.22.200,13118,443,TCP,934,81
13.107.22.200,192.168.43.254,443,13118,TCP,41,20
192.168.43.254,13.107.22.200,13118,443,TCP,43,57
13.107.22.200,192.168.43.254,443,13118,TCP,41,1258
13.107.22.200,192.168.43.254,443,13118,TCP,1254,630
192.168.43.254,13.107.22.200,13118,443,TCP,1258,1258
13.107.22.200,192.168.43.254,443,13118,TCP,1258,35
13.107.22.200,192.168.43.254,443,13118,TCP,290,112
192.168.43.254,13.107.22.200,13118,443,TCP,41,33
13.107.22.200,192.168.43.254,443,13118,TCP,41,37
13.107.22.200,192.168.43.254,443,13118,TCP,41,33
192.168.43.254,13.107.22.200,13118,443,TCP,43,789
13.107.22.200,192.168.43.254,443,13118,TCP,41,211
192.168.43.254,13.107.22.200,13118,443,TCP,41,33
13.107.22.200,192.168.43.254,443,13118,TCP,41,52
192.168.43.254,13.107.22.200,13118,443,TCP,41,52
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,41,75
192.168.43.254,13.107.22.200,13118,443,TCP,41,33
13.107.22.200,192.168.43.254,443,13118,TCP,41,35
13.107.22.200,192.168.43.254,443,13118,TCP,41,1258
13.107.22.200,192.168.43.254,443,13118,TCP,20,524
192.168.43.254,13.107.22.200,13118,443,TCP,41,244
13.107.22.200,192.168.43.254,443,13118,TCP,41,1258
192.168.43.254,13.107.22.200,13118,443,TCP,20,630
13.107.22.200,192.168.43.254,443,13118,TCP,823,35
192.168.43.254,13.107.22.200,13118,443,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,1254,33
13.107.22.200,192.168.43.254,443,13118,TCP,949,33
192.168.43.254,13.107.22.200,13118,443,TCP,41,33
13.107.22.200,192.168.43.254,443,13118,TCP,43,33
13.107.22.200,192.168.43.254,443,13118,TCP,41,112
192.168.43.254,13.107.22.200,13118,443,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,58,112
192.168.43.254,13.107.22.200,13118,443,TCP,41,68
13.107.22.200,192.168.43.254,443,13118,TCP,32,763
192.168.43.254,13.107.22.200,13118,443,TCP,20,402
13.107.22.200,192.168.43.254,443,13118,TCP,232,66
192.168.43.254,13.107.22.200,13118,443,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,33
192.168.43.254,13.107.22.200,13118,443,TCP,20,33
108.177.119.189,192.168.43.254,443,59346,UDP,20,33
192.168.43.254,3.209.255.103,13117,443,TCP,20,33
192.168.43.254,65.9.58.136,13115,443,TCP,659,20
192.168.43.254,3.209.255.103,13116,443,TCP,20,51
3.209.255.103,192.168.43.254,443,13116,TCP,1364,1258
65.9.58.136,192.168.43.254,443,13115,TCP,244,630
3.209.255.103,192.168.43.254,443,13117,TCP,199,1258
65.9.58.136,192.168.43.254,443,13115,TCP,133,35
192.168.43.254,65.9.58.136,13115,443,TCP,20,112
192.168.43.254,108.177.119.189,59346,443,UDP,20,33
3.209.255.103,192.168.43.254,443,13116,TCP,41,33
192.168.43.254,3.209.255.103,13116,443,TCP,20,20
3.209.255.103,192.168.43.254,443,13117,TCP,67,632
192.168.43.254,3.209.255.103,13117,443,TCP,32,1254
192.168.43.254,13.107.22.200,13118,443,TCP,57,33
192.168.43.254,13.107.22.200,13118,443,TCP,1258,1258
108.177.119.189,192.168.43.254,443,59346,UDP,88,1258
13.107.22.200,192.168.43.254,443,13118,TCP,411,630
13.107.22.200,192.168.43.254,443,13118,TCP,87,35
13.107.22.200,192.168.43.254,443,13118,TCP,41,112
192.168.43.254,13.107.22.200,13118,443,TCP,41,37
13.107.22.200,192.168.43.254,443,13118,TCP,41,33
192.168.43.254,13.107.22.200,13118,443,TCP,43,977
192.168.43.254,108.177.119.189,59346,443,UDP,20,33
108.177.119.189,192.168.43.254,443,59346,UDP,32,33
192.168.43.254,108.177.119.189,59346,443,UDP,20,35
108.177.119.189,192.168.43.254,443,59346,UDP,1420,449
192.168.43.254,108.177.119.189,59346,443,UDP,1420,257
192.168.43.254,52.97.188.66,13120,443,TCP,1420,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,35
192.168.43.254,13.107.22.200,13118,443,TCP,232,33
192.168.43.254,13.107.22.200,13118,443,TCP,20,524
192.168.43.254,13.107.22.200,13118,443,TCP,140,95
108.177.119.189,192.168.43.254,443,59346,UDP,20,33
13.107.22.200,192.168.43.254,443,13118,TCP,20,20
13.107.22.200,192.168.43.254,443,13118,TCP,20,20
13.107.22.200,192.168.43.254,443,13118,TCP,58,74
192.168.43.254,185.60.216.53,12875,443,TCP,272,20
52.97.188.66,192.168.43.254,443,13120,TCP,41,33
192.168.43.254,52.97.188.66,13120,443,TCP,41,35
192.168.43.254,52.97.188.66,13120,443,TCP,41,448
52.97.188.66,192.168.43.254,443,13120,TCP,41,78
13.107.22.200,192.168.43.254,443,13118,TCP,41,33
192.168.43.254,13.107.22.200,13118,443,TCP,41,21
52.97.188.66,192.168.43.254,443,13120,TCP,41,35
192.168.43.254,52.97.188.66,13120,443,TCP,32,33
52.97.188.66,192.168.43.254,443,13120,TCP,41,528
52.97.188.66,192.168.43.254,443,13120,TCP,41,66
52.97.188.66,192.168.43.254,443,13120,TCP,41,32
192.168.43.254,52.97.188.66,13120,443,TCP,41,33
192.168.43.254,52.97.188.66,13120,443,TCP,41,20
192.168.43.254,52.97.188.66,13120,443,TCP,1258,257
192.168.43.254,52.97.188.66,13120,443,TCP,88,20
52.97.188.66,192.168.43.254,443,13120,TCP,548,178
52.97.188.66,192.168.43.254,443,13120,TCP,32,107
52.97.188.66,192.168.43.254,443,13120,TCP,120,624
192.168.43.254,108.177.119.189,59346,443,UDP,43,20
52.97.188.66,192.168.43.254,443,13120,TCP,41,58
192.168.43.254,52.97.188.66,13120,443,TCP,41,20
192.168.43.254,52.97.188.66,13120,443,TCP,20,32
52.97.188.66,192.168.43.254,443,13120,TCP,20,20
192.168.43.254,20.190.160.7,13121,443,TCP,58,398
52.97.188.66,192.168.43.254,443,13120,TCP,41,20
192.168.43.254,52.97.188.66,13120,443,TCP,41,146
108.177.119.189,192.168.43.254,443,59346,UDP,20,107
192.168.43.254,3.14.252.40,13096,443,TCP,20,248
20.190.160.7,192.168.43.254,443,13121,TCP,20,20
192.168.43.254,20.190.160.7,13121,443,TCP,121,20
192.168.43.254,20.190.160.7,13121,443,TCP,20,58
20.190.160.7,192.168.43.254,443,13121,TCP,20,20
3.14.252.40,192.168.43.254,443,13096,TCP,67,167
20.190.160.7,192.168.43.254,443,13121,TCP,41,35
20.190.160.7,192.168.43.254,443,13121,TCP,1258,447
192.168.43.254,20.190.160.7,13121,443,TCP,83,179
20.190.160.7,192.168.43.254,443,13121,TCP,120,33
20.190.160.7,192.168.43.254,443,13121,TCP,1254,20
192.168.43.254,20.190.160.7,13121,443,TCP,1254,33
20.190.160.7,192.168.43.254,443,13121,TCP,1258,21
192.168.43.254,20.190.160.7,13121,443,TCP,60,35
52.97.188.66,192.168.43.254,443,13120,TCP,41,33
192.168.43.254,52.97.188.66,13120,443,TCP,43,525
20.190.160.7,192.168.43.254,443,13121,TCP,41,177
3.14.252.40,192.168.43.254,443,13096,TCP,41,33
20.190.160.7,192.168.43.254,443,13121,TCP,42,35
192.168.43.254,20.190.160.7,13121,443,TCP,41,33
192.168.43.254,20.190.160.7,13121,443,TCP,41,525
192.168.43.254,20.190.160.7,13121,443,TCP,41,162
192.168.43.254,20.190.160.7,13121,443,TCP,840,33
192.168.43.254,20.190.160.7,13121,443,TCP,59,362
192.168.43.254,20.190.160.7,13121,443,TCP,1258,52
192.168.43.254,3.14.252.40,13096,443,TCP,82,33
20.190.160.7,192.168.43.254,443,13121,TCP,41,81
20.190.160.7,192.168.43.254,443,13121,TCP,43,20
20.190.160.7,192.168.43.254,443,13121,TCP,87,33
20.190.160.7,192.168.43.254,443,13121,TCP,41,33
20.190.160.7,192.168.43.254,443,13121,TCP,1254,51
20.190.160.7,192.168.43.254,443,13121,TCP,1254,20
20.190.160.7,192.168.43.254,443,13121,TCP,494,33
20.190.160.7,192.168.43.254,443,13121,TCP,918,20
192.168.43.254,20.190.160.7,13121,443,TCP,41,33
20.190.160.7,192.168.43.254,443,13121,TCP,41,32
20.190.160.7,192.168.43.254,443,13121,TCP,42,33
20.190.160.7,192.168.43.254,443,13121,TCP,41,20
192.168.43.254,20.190.160.7,13121,443,TCP,41,616
20.190.160.7,192.168.43.254,443,13121,TCP,41,84
192.168.43.254,20.190.160.7,13121,443,TCP,41,112
20.190.160.7,192.168.43.254,443,13121,TCP,43,1420
20.190.160.7,192.168.43.254,443,13121,TCP,43,697
20.190.160.7,192.168.43.254,443,13121,TCP,41,82
20.190.160.7,192.168.43.254,443,13121,TCP,41,51
20.190.160.7,192.168.43.254,443,13121,TCP,41,20
192.168.43.254,20.190.160.7,13121,443,TCP,41,33
20.190.160.7,192.168.43.254,443,13121,TCP,41,95
192.168.43.254,20.190.160.7,13121,443,TCP,41,32
20.190.160.7,192.168.43.254,443,13121,TCP,20,32
20.190.160.7,192.168.43.254,443,13121,TCP,1258,20
192.168.43.254,20.190.160.7,13121,443,TCP,88,537
192.168.43.254,20.190.160.7,13121,443,TCP,20,59
192.168.43.254,20.190.160.7,13121,443,TCP,120,355
20.190.160.7,192.168.43.254,443,13121,TCP,844,1420
20.190.160.7,192.168.43.254,443,13121,TCP,58,1420
192.168.43.254,108.177.119.189,59346,443,UDP,42,1420
108.177.119.189,192.168.43.254,443,59346,UDP,41,1268
192.168.43.254,192.168.43.1,49701,53,UDP,43,20
192.168.43.1,192.168.43.254,53,49701,UDP,1258,537
192.168.43.254,65.55.44.109,13122,443,TCP,87,20
65.55.44.109,192.168.43.254,443,13122,TCP,41,84
192.168.43.254,65.55.44.109,13122,443,TCP,1258,112
192.168.43.254,65.55.44.109,13122,443,TCP,41,332
65.55.44.109,192.168.43.254,443,13122,TCP,812,871
65.55.44.109,192.168.43.254,443,13122,TCP,42,20
65.55.44.109,192.168.43.254,443,13122,TCP,43,84
192.168.43.254,65.55.44.109,13122,443,TCP,41,33
65.55.44.109,192.168.43.254,443,13122,TCP,1000,20
192.168.43.254,65.55.44.109,13122,443,TCP,41,51
65.55.44.109,192.168.43.254,443,13122,TCP,43,20
192.168.43.254,13.107.22.200,13118,443,TCP,41,59
192.168.43.254,13.107.22.200,13118,443,TCP,1254,33
192.168.43.254,13.107.22.200,13118,443,TCP,1258,35
192.168.43.254,13.107.22.200,13118,443,TCP,1258,33
192.168.43.254,13.107.22.200,13118,443,TCP,292,33
192.168.43.254,13.107.22.200,13118,443,TCP,41,528
192.168.43.254,13.107.22.200,13118,443,TCP,43,252
192.168.43.254,13.107.22.200,13118,443,TCP,41,478
192.168.43.254,13.107.22.200,13118,443,TCP,20,220
192.168.43.254,13.107.22.200,13118,443,TCP,101,33
